Product,Price,Rating,No. of reviews,Link
WOW Apple Cider Vinegar Shampoo - WOWsome Twosome No Parabens & Sulphates Hair Care Package – 600mL,674.00,3.9 out of 5 stars,"5,746",https://www.amazon.in//WOW-Vinegar-Shampoo-WOWsome-Twosome/dp/B076B6CPD7?_encoding=UTF8&psc=1
"Ustraa Ammunition Cologne Soap with Charcoal & Bay Leaf, 125 gm (Pack of 3)",250.00,3.8 out of 5 stars,272,https://www.amazon.in//Ustraa-Ammunition-Cologne-Soap-Charcoal/dp/B07DS77J2X?_encoding=UTF8&psc=1
Ustraa Hair Growth Vitalizer - 100 ml,618.00,3.7 out of 5 stars,137,https://www.amazon.in//Ustraa-Hair-Growth-Vitalizer-100ml/dp/B07GR5M1VJ?_encoding=UTF8&psc=1
"WOW Anti Pollution SPF40 Water Resistant No Parabens & Mineral Oil Sunscreen Lotion, 100mL",394.00,4.3 out of 5 stars,255,https://www.amazon.in//WOW-Pollution-Resistant-Parabens-Sunscreen/dp/B07514KGH7?_encoding=UTF8&psc=1
"Trycone Onion Hair Oil with Vitamin E,100% Natural Oils and Herbs, 200 Ml",446.00,4.6 out of 5 stars,58,https://www.amazon.in//Trycone-Onion-Vitamin-Natural-Herbs/dp/B07L2YB7X7?_encoding=UTF8&psc=1
Wakefit Sleeping Pillow,399.00 -    699.00,4.5 out of 5 stars,475,https://www.amazon.in//Wakefit-Sleeping-Pillow/dp/B07NVMN7B1
"Mamaearth Deeply nourishing wash for babies (200 ml, 0-5 Yrs)",169.00,4.1 out of 5 stars,404,https://www.amazon.in//Mamaearth-Deeply-nourishing-wash-babies/dp/B01N1M5HAD?_encoding=UTF8&psc=1
"MuscleBlaze Creatine, 100 gms",184.00,3.8 out of 5 stars,979,https://www.amazon.in//MuscleBlaze-Creatine-Monohydrate-Powder-100/dp/B00LLZ82O4?_encoding=UTF8&psc=1
"MuscleBlaze Mass Gainer XXL (Chocolate, 1 Kg / 2.2 lb)",919.00,3.4 out of 5 stars,"1,325",https://www.amazon.in//MuscleBlaze-Mass-Gainer-XXL-Chocolate/dp/B01F381SAY?_encoding=UTF8&psc=1
"WOW Anti Aging No Parabens & Mineral Oil Night Cream, 50mL",584.00,4.1 out of 5 stars,850,https://www.amazon.in//WOW-Aging-Parabens-Mineral-Night/dp/B06WVQS84F?_encoding=UTF8&psc=1
